foia,request_date,due_dat,execute_dat,delta_days,compliant
12-0185 , 2012-01-18 , 2012-01-25 , 2012-01-23 , 5 , True
12-0186 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0187 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0188 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0189 , 2012-01-18 , 2012-01-25 , 2012-01-26 , 8 , False
12-0190 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0191 , 2012-01-18 , 2012-01-25 , 2012-01-23 , 5 , True
12-0193 , 2012-01-19 , 2012-01-26 , 2012-01-31 , 12 , False
12-0194 , 2012-01-19 , 2012-01-26 , 2012-01-20 , 1 , True
12-0195 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0196 , 2012-01-19 , 2012-01-26 , 2012-01-20 , 1 , True
12-0197 , 2012-01-19 , 2012-01-26 , 2012-01-24 , 5 , True
12-0198 , 2012-01-19 , 2012-01-26 , 2012-01-24 , 5 , True
12-0199 , 2012-01-19 , 2012-01-26 , 2012-01-20 , 1 , True
12-0200 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0201 , 2012-01-19 , 2012-01-26 , 2012-01-23 , 4 , True
12-0202 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0203 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0204 , 2012-01-19 , 2012-01-26 , 2012-01-20 , 1 , True
12-0205 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0206 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0207 , 2012-01-19 , 2012-01-26 , 2012-05-25 , 127 , False
12-0208 , 2012-01-19 , 2012-01-26 , 2012-01-31 , 12 , False
12-0209 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0210 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0211 , 2012-01-19 , 2012-01-26 , 2011-01-19 , -365 , True
12-0212 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0213 , 2012-01-19 , 2012-01-26 , 2012-01-19 , 0 , True
12-0214 , 2012-01-19 , 2012-01-26 , 2012-01-23 , 4 , True
12-0215 , 2012-01-20 , 2012-01-27 , 2012-01-20 , 0 , True
12-0216 , 2012-01-20 , 2012-01-27 , 2012-01-20 , 0 , True
12-0217 , 2012-01-20 , 2012-01-27 , 2012-01-20 , 0 , True
12-0218 , 2012-01-20 , 2012-01-27 , 2012-01-20 , 0 , True
12-0219 , 2012-01-20 , 2012-01-27 , 2012-01-20 , 0 , True
12-0220 , 2012-01-20 , 2012-01-27 , 2012-01-20 , 0 , True
12-0221 , 2012-01-20 , 2012-01-27 , 2012-01-20 , 0 , True
12-0222 , 2012-01-20 , 2012-01-27 , 2012-01-20 , 0 , True
12-0223 , 2012-01-20 , 2012-01-27 , 2012-01-12 , -8 , True
12-0224 , 2012-01-20 , 2012-01-27 , 2012-01-27 , 7 , False
12-0225 , 2012-01-20 , 2012-01-27 , 2012-01-23 , 3 , True
12-0226 , 2012-01-20 , 2012-01-27 , 2012-01-23 , 3 , True
12-0227 , 2012-01-20 , 2012-01-27 , 2012-01-31 , 11 , False
12-0228 , 2012-01-20 , 2012-01-27 , 2012-01-26 , 6 , False
12-0229 , 2012-01-20 , 2012-01-27 , 2012-01-23 , 3 , True
12-0230 , 2012-01-23 , 2012-01-30 , 2012-01-23 , 0 , True
12-0231 , 2012-01-23 , 2012-01-30 , 2012-02-02 , 10 , False
12-0232 , 2012-01-23 , 2012-01-30 , 2012-01-23 , 0 , True
12-0233 , 2012-01-23 , 2012-01-30 , 2012-01-27 , 4 , True
12-0234 , 2012-01-23 , 2012-01-30 , 2012-01-24 , 1 , True
12-0235 , 2012-01-23 , 2012-01-30 , 2012-02-02 , 10 , False
12-0236 , 2012-01-23 , 2012-01-30 , 2012-01-23 , 0 , True
12-0237 , 2012-01-23 , 2012-01-30 , 2012-01-23 , 0 , True
12-0238 , 2012-01-23 , 2012-01-30 , 2012-01-24 , 1 , True
12-0239 , 2012-01-23 , 2012-01-30 , 2012-01-23 , 0 , True
12-0240 , 2012-01-23 , 2012-01-30 , 2012-01-24 , 1 , True
12-0241 , 2012-01-23 , 2012-01-30 , 2012-01-25 , 2 , True
12-0242 , 2012-01-23 , 2012-01-30 , 2012-06-26 , 155 , False
12-0243 , 2012-01-23 , 2012-01-30 , 2012-01-26 , 3 , True
12-0244 , 2012-01-23 , 2012-01-30 , 2012-01-27 , 4 , True
12-0245 , 2012-01-23 , 2012-01-30 , 2012-01-24 , 1 , True
12-0246 , 2012-01-23 , 2012-01-30 , 2012-01-26 , 3 , True
12-0247 , 2012-01-23 , 2012-01-30 , 2012-01-30 , 7 , False
12-0248 , 2012-01-23 , 2012-01-30 , 2012-01-26 , 3 , True
12-0249 , 2012-01-23 , 2012-01-30 , 2012-01-23 , 0 , True
12-0250 , 2012-01-23 , 2012-01-30 , 2012-01-27 , 4 , True
12-0251 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0252 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0253 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0254 , 2012-01-24 , 2012-01-31 , 2012-01-31 , 7 , False
12-0255 , 2012-01-24 , 2012-01-31 , 2012-01-27 , 3 , True
12-0256 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0257 , 2012-01-24 , 2012-01-31 , 2012-01-27 , 3 , True
12-0258 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0259 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0260 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0261 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0262 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0263 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0264 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0265 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0266 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0267 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0268 , 2012-01-24 , 2012-01-31 , 2012-01-24 , 0 , True
12-0269 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0270 , 2012-01-25 , 2012-02-01 , 2012-02-09 , 15 , False
12-0271 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0272 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0273 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0274 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0275 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0276 , 2012-01-25 , 2012-02-01 , 2012-01-26 , 1 , True
12-0277 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0278 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0279 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0280 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0281 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0282 , 2012-01-25 , 2012-02-01 , 2012-01-27 , 2 , True
12-0283 , 2012-01-25 , 2012-02-01 , 2012-01-25 , 0 , True
12-0284 , 2012-01-26 , 2012-02-02 , 2012-01-30 , 4 , True
12-0285 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0286 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0287 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0288 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0289 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0290 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0291 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0292 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0293 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0294 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0295 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0296 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0297 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0298 , 2012-01-26 , 2012-02-02 , 2012-02-03 , 8 , False
12-0299 , 2012-01-26 , 2012-02-02 , 2012-01-30 , 4 , True
12-0300 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0301 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0302 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0303 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0304 , 2012-01-26 , 2012-02-02 , 2012-01-26 , 0 , True
12-0305 , 2012-01-26 , 2012-02-02 , 2012-01-27 , 1 , True
12-0306 , 2012-01-27 , 2012-02-03 , 2012-02-01 , 5 , True
12-0307 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0308 , 2012-01-27 , 2012-02-03 , 2012-01-30 , 3 , True
12-0309 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0310 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0311 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0312 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0313 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0314 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0315 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0316 , 2012-01-27 , 2012-02-03 , 2012-02-02 , 6 , False
12-0317 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0318 , 2012-01-27 , 2012-02-03 , 2012-01-27 , 0 , True
12-0319 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0320 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0321 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0323 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0324 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0325 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0326 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0327 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0328 , 2012-01-30 , 2012-02-06 , 2012-02-09 , 10 , False
12-0329 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0330 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0331 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0332 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0333 , 2012-01-30 , 2012-02-06 , 2012-02-01 , 2 , True
12-0334 , 2012-01-30 , 2012-02-06 , 2012-01-31 , 1 , True
12-0335 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0336 , 2012-01-30 , 2012-02-06 , 2012-01-30 , 0 , True
12-0337 , 2012-01-31 , 2012-02-07 , 2012-02-08 , 8 , False
12-0338 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0339 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0340 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0341 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
